,Original,Standardized
2566,Advanced Non-squamous Cell Non-small Cell Lung Cancer,Advanced Non-squamous Cell Non-small Cell Lung Cancer
2567,Rotator Cuff Injury,Rotator Cuff Injury
2568,"Leukemia, Myeloid, Acute; AML Stage, Adult","Leukemia, Myeloid, Acute; AML Stage, Adult"
2569,"Breast Cancer, Early Breast Cancer",Early Breast Cancer
2570,Rotator Cuff Disease,Rotator Cuff Disease
2571,Advanced Ovarian Cancer,Advanced Ovarian Cancer
2572,Chemotherapy Induced Peripheral Neuropathy,Chemotherapy Induced Peripheral Neuropathy
2573,Advanced Nonhematologic Malignancies,Advanced Nonhematologic Malignancies
2574,Adenomyosis,Adenomyosis
2575,Kidney Transplant Recipients,Kidney Transplant Recipients
2576,Resected Liver Metastases From Colorectal Cancer,Resected Liver Metastases From Colorectal Cancer
2577,Primary Myelofibrosis; Post-polycythemia Vera Myelofibrosis; Post-essential Thrombocythemia Myelofibrosis,Primary Myelofibrosis; Post-polycythemia Vera Myelofibrosis; Post-essential Thrombocythemia Myelofibrosis
2578,Recurrent Acute Lymphoblastic Leukemia; Recurrent Adult Lymphoblastic Lymphoma; Recurrent Burkitt Leukemia; Recurrent Burkitt Lymphoma; Recurrent Childhood Lymphoblastic Lymphoma; Recurrent High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements; Refractory Acute Lymphoblastic Leukemia; Refractory Burkitt Leukemia; Refractory Burkitt Lymphoma; Refractory High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements; Refractory Lymphoblastic Lymphoma,Lymphoma and Lymphoblastic Leukemia
2579,Bronchoscopy; Sedation,Bronchoscopy with Sedation
2580,"Leukemia, Acute Lymphoblastic","Leukemia, Acute Lymphoblastic"
2581,Adrenoleukodystrophy; Metachromatic Leukodystrophy; Globoid Cell Leukodystrophy; Tay Sachs Disease; Sandhoffs Disease; Wolman Disease; I-Cell Disease; Sanfilippo Syndrome; GM1 Gangliosidosis,Lysosomal Storage Diseases
2582,Rectum Cancer,Rectum Cancer
2583,Recurrent Adult Lymphoblastic Lymphoma; Recurrent B Acute Lymphoblastic Leukemia; Recurrent B Lymphoblastic Lymphoma; Recurrent T Acute Lymphoblastic Leukemia; Recurrent T Lymphoblastic Lymphoma; Refractory B Acute Lymphoblastic Leukemia; Refractory B Lymphoblastic Lymphoma; Refractory T Acute Lymphoblastic Leukemia; Refractory T Lymphoblastic Lymphoma,Recurrent Adult Lymphoblastic Lymphoma; Recurrent B Acute Lymphoblastic Leukemia; Recurrent B Lymphoblastic Lymphoma; Recurrent T Acute Lymphoblastic Leukemia; Recurrent T Lymphoblastic Lymphoma; Refractory B Acute Lymphoblastic Leukemia; Refractory B Lymphoblastic Lymphoma; Refractory T Acute Lymphoblastic Leukemia; Refractory T Lymphoblastic Lymphoma
2584,Klinefelter Syndrome,Klinefelter Syndrome
2585,Dyspareunia,Dyspareunia
2586,Retinal Vein Occlusion,Retinal Vein Occlusion
2587,Adult Acute Basophilic Leukemia; Adult Acute Eosinophilic Leukemia; Adult Acute Megakaryoblastic Leukemia (M7); Adult Acute Minimally Differentiated Myeloid Leukemia (M0); Adult Acute Monoblastic Leukemia (M5a); Adult Acute Monocytic Leukemia (M5b); Adult Acute Myeloblastic Leukemia With Maturation (M2); Adult Acute Myeloblastic Leukemia Without Maturation (M1); Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities; Adult Acute Myeloid Leukemia With Inv(16)(p13;q22); Adult Acute Myeloid Leukemia With t(16;16)(p13;q22); Adult Acute Myeloid Leukemia With t(8;21)(q22;q22); Adult Acute Myelomonocytic Leukemia (M4); Adult Erythroleukemia (M6a); Adult Pure Erythroid Leukemia (M6b); Childhood Myelodysplastic Syndromes; Chronic Myelomonocytic Leukemia; de Novo Myelodysplastic Syndromes; Refractory Anemia With Excess Blasts; Refractory Anemia With Excess Blasts in Transformation; Secondary Acute Myeloid Leukemia; Secondary Myelodysplastic Syndromes; Untreated Adult Acute Myeloid Leukemia,Myelodysplastic Syndromes and Acute Myeloid Leukemia
2588,"Rhabdomyosarcoma, Child","Rhabdomyosarcoma, Child"
2589,Respiratory Failure,Respiratory Failure
2590,Adult Acute Basophilic Leukemia; Adult Acute Eosinophilic Leukemia; Adult Acute Megakaryoblastic Leukemia (M7); Adult Acute Minimally Differentiated Myeloid Leukemia (M0); Adult Acute Monoblastic Leukemia (M5a); Adult Acute Monocytic Leukemia (M5b); Adult Acute Myeloblastic Leukemia With Maturation (M2); Adult Acute Myeloblastic Leukemia Without Maturation (M1); Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities; Adult Acute Myeloid Leukemia With Inv(16)(p13;q22); Adult Acute Myeloid Leukemia With t(16;16)(p13;q22); Adult Acute Myeloid Leukemia With t(8;21)(q22;q22); Adult Acute Myelomonocytic Leukemia (M4); Adult Erythroleukemia (M6a); Adult Pure Erythroid Leukemia (M6b); Secondary Acute Myeloid Leukemia; Untreated Adult Acute Myeloid Leukemia,Acute Myeloid Leukemia Variants
2591,Dysmenorrhea; Chronic Pelvic Pain; Pelvic Pain,Chronic Pelvic Pain
2592,Chidamide; R-CHOP Chemotherapy; DLBCL - Diffuse Large B Cell Lymphoma; Double-expressor Lymphoma (DEL),Chidamide; R-CHOP Chemotherapy; DLBCL - Diffuse Large B Cell Lymphoma; Double-expressor Lymphoma (DEL)
2593,Advanced Lung Non-Small Cell Carcinoma; Recurrent Lung Non-Small Cell Carcinoma; Stage III Lung Cancer AJCC v8; Stage IIIA Lung Cancer AJCC v8; Stage IIIB Lung Cancer AJCC v8; Stage IIIC Lung Cancer AJCC v8; Stage IV Lung Cancer AJCC v8; Stage IVA Lung Cancer AJCC v8; Stage IVB Lung Cancer AJCC v8,Advanced Lung Non-Small Cell Carcinoma; Recurrent Lung Non-Small Cell Carcinoma; Stage III Lung Cancer AJCC v8; Stage IIIA Lung Cancer AJCC v8; Stage IIIB Lung Cancer AJCC v8; Stage IIIC Lung Cancer AJCC v8; Stage IV Lung Cancer AJCC v8; Stage IVA Lung Cancer AJCC v8; Stage IVB Lung Cancer AJCC v8
2594,Adult Acute Basophilic Leukemia; Adult Acute Eosinophilic Leukemia; Adult Acute Megakaryoblastic Leukemia (M7); Adult Acute Minimally Differentiated Myeloid Leukemia (M0); Adult Acute Monoblastic Leukemia (M5a); Adult Acute Monocytic Leukemia (M5b); Adult Acute Myeloblastic Leukemia With Maturation (M2); Adult Acute Myeloblastic Leukemia Without Maturation (M1); Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities; Adult Acute Myelomonocytic Leukemia (M4); Adult Erythroleukemia (M6a); Adult Pure Erythroid Leukemia (M6b); Childhood Acute Basophilic Leukemia; Childhood Acute Eosinophilic Leukemia; Childhood Acute Erythroleukemia (M6); Childhood Acute Megakaryocytic Leukemia (M7); Childhood Acute Monoblastic Leukemia (M5a); Childhood Acute Monocytic Leukemia (M5b); Childhood Acute Myeloblastic Leukemia With Maturation (M2); Childhood Acute Myeloblastic Leukemia Without Maturation (M1); Childhood Acute Myelomonocytic Leukemia (M4); Secondary Acute Myeloid Leukemia; Untreated Adult Acute Myeloid Leukemia; Untreated Childhood Acute Myeloid Leukemia and Other Myeloid Malignancies,Acute Myeloid Leukemia and Related Disorders
2595,Recurrent Adult Acute Lymphoblastic Leukemia,Recurrent Adult Acute Lymphoblastic Leukemia
2596,Recurrent Adult Acute Myeloid Leukemia; Myelodysplastic Syndrome; Adult Acute Myeloid Leukemia,Recurrent Adult Acute Myeloid Leukemia; Myelodysplastic Syndrome; Adult Acute Myeloid Leukemia
2597,Advanced Malignant Neoplasm; Colorectal Carcinoma Metastatic in the Liver; Metastatic Malignant Neoplasm in the Liver; Refractory Malignant Neoplasm,Advanced Malignant Neoplasm; Colorectal Carcinoma Metastatic in the Liver; Metastatic Malignant Neoplasm in the Liver; Refractory Malignant Neoplasm
2598,Dysphagia,Dysphagia
2599,Recurrent Colon Cancer; Recurrent Rectal Cancer; Stage IV Colon Cancer; Stage IV Rectal Cancer,Recurrent Colon Cancer; Recurrent Rectal Cancer; Stage IV Colon Cancer; Stage IV Rectal Cancer
2600,RAS Mutation; Ras (Kras or Nras) Gene Mutation; Colorectal Cancer Recurrent; Pancreas Cancer; Lung Cancer; Melanoma; Refractory Cancer,RAS Mutation Cancer
2601,Rheumatoid Arthritis; Psoriatic Arthritis,Inflammatory Arthritis
2602,Pulpitis,Pulpitis
2603,Rheumatoid Arthritis; Insufficient Response to Methotrexate or Leflunomide,Rheumatoid Arthritis; Insufficient Response to Methotrexate or Leflunomide
2604,Advanced Malignant Solid Neoplasm; Metastatic Malignant Solid Neoplasm; Unresectable Malignant Solid Neoplasm,Malignant Solid Tumor
2605,Diabetic Neuropathy,Diabetic Neuropathy
2606,EGFR Mutation Positive Non Small Cell Lung Cancer,EGFR Mutation Positive Non Small Cell Lung Cancer
2607,Hormone Receptor-positive Metastatic Breast Cancer; HER2-negative Metastatic Breast Cancer,Hormone Receptor-positive Metastatic Breast Cancer; HER2-negative Metastatic Breast Cancer
2608,Rheumatoid Arthritis (RA); Inflammatory Bowel Disease - IBD1,Rheumatoid Arthritis and Inflammatory Bowel Disease
2609,REM Sleep Behavior Disorder,REM Sleep Behavior Disorder
2610,Brugada Syndrome,Brugada Syndrome
2611,EGFR Gene Mutation; Nonsmall Cell Lung Cancer,EGFR Gene Mutation; Nonsmall Cell Lung Cancer
2612,Radius Fractures; Ulna Fractures; Hand Injuries; Wrist Injuries; Forearm Injuries,Forearm and Wrist Injuries
2613,Cholestasis,Cholestasis
2614,Rheumatic Heart Disease,Rheumatic Heart Disease
2615,Resistant Solid Malignancies,Resistant Solid Malignancies
2616,Rhematoid Arthritis,Rheumatoid Arthritis
2617,Kidney Transplant Rejection,Kidney Transplant Rejection
2618,Recurrent Aggressive Non-Hodgkin Lymphoma; Recurrent B-Cell Non-Hodgkin Lymphoma; Recurrent Burkitt Lymphoma; Recurrent Diffuse Large B-Cell Lymphoma; Recurrent High Grade B-Cell Lymphoma; Recurrent T-Cell Non-Hodgkin Lymphoma; Recurrent Transformed B-Cell Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma
2619,"Diabetes; Diabetes Mellitus, Type 1; Type1diabetes; Diabetes Mellitus","Diabetes; Diabetes Mellitus, Type 1; Type1diabetes; Diabetes Mellitus"
2620,SARS-CoV 2; COVID-19,SARS-CoV 2; COVID-19
2621,Early Childhood Caries,Early Childhood Caries
2622,"Leukemia; Leukemia, Myeloid; Leukemia, Myeloid, Acute","Leukemia; Leukemia, Myeloid; Leukemia, Myeloid, Acute"
2623,Prolymphocytic Leukemia; Recurrent Adult Hodgkin Lymphoma; Recurrent Childhood Hodgkin Lymphoma; Recurrent Childhood Non-Hodgkin Lymphoma; Recurrent Chronic Lymphocytic Leukemia; Recurrent Non-Hodgkin Lymphoma; Recurrent Small Lymphocytic Lymphoma; Refractory Childhood Hodgkin Lymphoma; Refractory Chronic Lymphocytic Leukemia; Refractory Hodgkin Lymphoma; Refractory Non-Hodgkin Lymphoma; Refractory Small Lymphocytic Lymphoma; T-Cell Chronic Lymphocytic Leukemia; T-Cell Prolymphocytic Leukemia,Prolymphocytic Leukemia; Recurrent Adult Hodgkin Lymphoma; Recurrent Childhood Hodgkin Lymphoma; Recurrent Childhood Non-Hodgkin Lymphoma; Recurrent Chronic Lymphocytic Leukemia; Recurrent Non-Hodgkin Lymphoma; Recurrent Small Lymphocytic Lymphoma; Refractory Childhood Hodgkin Lymphoma; Refractory Chronic Lymphocytic Leukemia; Refractory Hodgkin Lymphoma; Refractory Non-Hodgkin Lymphoma; Refractory Small Lymphocytic Lymphoma; T-Cell Chronic Lymphocytic Leukemia; T-Cell Prolymphocytic Leukemia
2624,Salivary Gland Neoplasms,Salivary Gland Neoplasms
2625,Emphysema,Emphysema
2626,Emotional Distress,Emotional Distress
2627,Prostate Adenocarcinoma; Prostate Carcinoma; Recurrent Prostate Carcinoma; Stage III Prostate Cancer; Stage IV Prostate Cancer,Prostate Adenocarcinoma; Prostate Carcinoma; Recurrent Prostate Carcinoma; Stage III Prostate Cancer; Stage IV Prostate Cancer
2628,"Diabetes Mellitus, Type 2; Urosepsis; Diabetic Ketoacidosis; Lower Extremity Amputation",Diabetes Mellitus Type 2 with Complications
2629,Emotional Disorder,Emotional Disorder
2630,Prostate Adenocarcinoma; Stage IIB Prostate Cancer AJCC v8; Stage IIC Prostate Cancer AJCC v8; Stage IIIA Prostate Cancer AJCC v8; Stage IIIC Prostate Cancer AJCC v8,Prostate Adenocarcinoma
2631,Breast Cancer; Advanced Breast Cancer,Breast Cancer
2632,Proliferative Vitreoretinopathy,Proliferative Vitreoretinopathy
2633,Chronic Coronary Syndrome; Atrial Fibrillation,Chronic Coronary Syndrome; Atrial Fibrillation
2634,Breast Cancer; Adenocarcinoma of Breast,Breast and Ovarian Cancer
2635,Leishmaniasis,Leishmaniasis
2636,"Embryonal Tumor With Multilayered Rosettes; Embryonal Tumor With Multilayered Rosettes, Nos",Embryonal Tumor With Multilayered Rosettes
2637,Prostate Cancer Metastatic; Prostate Cancer Metastatic to Bone; Prostate Cancer; Prostate Neoplasm; Oligometastatic Disease; Oligometastasis,Prostate Cancer Metastatic; Prostate Cancer Metastatic to Bone; Prostate Cancer; Prostate Neoplasm; Oligometastatic Disease; Oligometastasis
2638,Advanced Solid Tumors; Kirsten Rat Sarcoma (KRAS) pG12C Mutation,Advanced Solid Tumors; Kirsten Rat Sarcoma (KRAS) pG12C Mutation
2639,Prostate Cancer Metastatic; Radiotherapy Side Effect; Surgery; Urologic Cancer; Quality of Life; Patient Satisfaction; Health Care Utilization,Prostate Cancer Metastatic; Radiotherapy Side Effect; Surgery; Urologic Cancer; Quality of Life; Patient Satisfaction; Health Care Utilization
2640,Adenocarcinoma of the Pancreas; Stage II Pancreatic Cancer; Stage III Pancreatic Cancer,Pancreatic Adenocarcinoma
2641,Legally Induced Abortion Without Mention of Complication,Legally Induced Abortion Without Mention of Complication
2642,"Sarcoma, Kaposi; HIV Infections",Kaposi Sarcoma with HIV
2643,Adult Acute Megakaryoblastic Leukemia (M7); Adult Acute Monoblastic Leukemia (M5a); Adult Acute Monocytic Leukemia (M5b); Adult Acute Myeloblastic Leukemia With Maturation (M2); Adult Acute Myeloblastic Leukemia Without Maturation (M1); Adult Acute Myeloid Leukemia in Remission; Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities; Adult Acute Myeloid Leukemia With Del(5q); Adult Acute Myeloid Leukemia With Inv(16)(p13;q22); Adult Acute Myeloid Leukemia With t(16;16)(p13;q22); Adult Acute Myeloid Leukemia With t(8;21)(q22;q22); Adult Acute Myelomonocytic Leukemia (M4); Adult Erythroleukemia (M6a); Adult Pure Erythroid Leukemia (M6b); Recurrent Adult Acute Myeloid Leukemia; Secondary Acute Myeloid Leukemia; Untreated Adult Acute Myeloid Leukemia,Adult Acute Megakaryoblastic Leukemia (M7); Adult Acute Monoblastic Leukemia (M5a); Adult Acute Monocytic Leukemia (M5b); Adult Acute Myeloblastic Leukemia With Maturation (M2); Adult Acute Myeloblastic Leukemia Without Maturation (M1); Adult Acute Myeloid Leukemia in Remission; Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities; Adult Acute Myeloid Leukemia With Del(5q); Adult Acute Myeloid Leukemia With Inv(16)(p13;q22); Adult Acute Myeloid Leukemia With t(16;16)(p13;q22); Adult Acute Myeloid Leukemia With t(8;21)(q22;q22); Adult Acute Myelomonocytic Leukemia (M4); Adult Erythroleukemia (M6a); Adult Pure Erythroid Leukemia (M6b); Recurrent Adult Acute Myeloid Leukemia; Secondary Acute Myeloid Leukemia; Untreated Adult Acute Myeloid Leukemia
2644,Resectable Lung Non-Small Cell Carcinoma; Stage II Lung Cancer AJCC v8; Stage IIIA Lung Cancer AJCC v8; Stage IIIB Lung Cancer AJCC v8,Non-Small-Cell Lung Carcinoma
2645,Adenocarcinoma of the Colon; Adenocarcinoma of the Rectum; Recurrent Colon Cancer; Recurrent Rectal Cancer; Stage IV Colon Cancer; Stage IV Rectal Cancer,Adenocarcinoma of the Colon; Adenocarcinoma of the Rectum; Recurrent Colon Cancer; Recurrent Rectal Cancer; Stage IV Colon Cancer; Stage IV Rectal Cancer
2646,Sarcoma; Chemotherapy-induced Nausea and Vomiting; Effects of Chemotherapy; Adverse Effects of Medical Drugs,Chemotherapy-induced Adverse Effects in Sarcoma
2647,Primary Open-angle Glaucoma,Primary Open-angle Glaucoma
2648,Primary Ovarian Insufficiency,Primary Ovarian Insufficiency
2649,Primary Peritoneal Carcinoma; Stage III Ovarian Cancer; Stage IV Ovarian Cancer,Ovarian and Peritoneal Carcinoma
2650,Primary Progressive Multiple Sclerosis,Primary Progressive Multiple Sclerosis
2651,Endometrial Adenocarcinoma; Endometrial Mixed Cell Adenocarcinoma; Endometrial Serous Adenocarcinoma; Endometrial Undifferentiated Carcinoma; Endometrioid Adenocarcinoma; Stage IV Uterine Corpus Carcinoma or Carcinosarcoma AJCC v8,Endometrial Cancer
2652,Primary Sjögren's Syndrome,Primary Sjögren's Syndrome
2653,Primary Systemic Amyloidosis,Primary Systemic Amyloidosis
2654,Cervical Pain,Cervical Pain
2655,Advanced or Metastatic ER+ Breast Cancer,Advanced or Metastatic ER+ Breast Cancer
2656,Cervical Intraepithelial Neoplasia,Cervical Intraepithelial Neoplasia
2657,Adenocarcinoma of the Gastroesophageal Junction; Adenocarcinoma of the Stomach; Recurrent Gastric Cancer; Stage IIIA Gastric Cancer; Stage IIIB Gastric Cancer; Stage IIIC Gastric Cancer; Stage IV Gastric Cancer,Gastric and Gastroesophageal Junction Cancer
2658,Proctitis; Proctosigmoiditis,Proctitis and Proctosigmoiditis
2659,End-stage Kidney Disease,End-stage Kidney Disease
2660,End-Stage Renal Disease; Hemodialysis,End-Stage Renal Disease
2661,End-Stage Renal Disease,End-Stage Renal Disease
2662,End Stage Renal Failure With Renal Transplant,Renal Transplantation
2663,Prostate Cancer; Adenocarcinoma of the Prostate,Prostate Cancer; Adenocarcinoma of the Prostate
2664,Recurrent Implantation Failure,Recurrent Implantation Failure
2665,Resectable Pancreatic Adenocarcinoma,Pancreatic Ductal Adenocarcinoma
2666,Eating Disorder,Eating Disorder
2667,Eczema,Eczema
2668,Adenocarcinoma of the Prostate; Stage II Prostate Cancer; Stage III Prostate Cancer; Stage IV Prostate Cancer,Adenocarcinoma of the Prostate; Stage II Prostate Cancer; Stage III Prostate Cancer; Stage IV Prostate Cancer
2669,"Prostatic Cancer, Castration-Resistant","Prostatic Cancer, Castration-Resistant"
2670,SSRI-Refractory Obsessive-Compulsive Disorder,SSRI-Refractory Obsessive-Compulsive Disorder
2671,SMALL CELL LUNG CARCINOMA,SMALL CELL LUNG CARCINOMA
2672,"Leukemia, Myelomonocytic, Acute",Acute Myelomonocytic Leukemia
2673,Adenocarcinoma of the Stomach; Adenocarcinoma of Esophagogastric Junction; HER2-positive Gastric Cancer,Gastric and Gastroesophageal Junction Cancer
2674,Prostatic Neoplasms; Prostate Cancer,Prostate Cancer
2675,"Adenocarcinoma, Prostate","Adenocarcinoma, Prostate"
2676,Prostate Cancer; Castrate Resistant Prostate Cancer,Castration-Resistant Prostate Cancer
2677,"Breast Cancer, Metastatic Breast Cancer","Breast Cancer, Metastatic Breast Cancer"
2678,Early-Stage Breast Carcinoma; Hormone Receptor Positive Tumor,Hormone Receptor-positive Breast Cancer
2679,Proteinuria,Proteinuria
2680,Advanced Soft Tissue Sarcoma,Advanced Soft Tissue Sarcoma
2681,Early Stage HER2+ Breast Cancer,Early Stage HER2+ Breast Cancer
2682,Early Stage Breast Cancer,Early Stage Breast Cancer
2683,Advanced Renal Cell Carcinoma; Metastatic Renal Cell Carcinoma,Advanced Renal Cell Carcinoma; Metastatic Renal Cell Carcinoma
2684,Early Rheumatoid Arthritis,Early Rheumatoid Arthritis
2685,"Advanced Solid Tumor; HR+/HER2- Breast Cancer; HR+, HER2-, Advanced Breast Cancer; CCNE1 Amplification; Epithelial Ovarian Cancer; Primary Peritoneal Cancer; Fallopian Tube Cancer; Endometrial Cancer; TNBC - Triple-Negative Breast Cancer",Advanced Solid Tumors and Gynecologic Cancers
2686,Recurrent Head and Neck Squamous Cell Carcinoma; Metastatic Head and Neck Squamous Cell Carcinoma,Metastatic Head and Neck Squamous Cell Carcinoma
2687,Edentulous Jaw,Dental Implant
2688,Leukemia; Acute Lymphoblastic Leukemia,Leukemia; Acute Lymphoblastic Leukemia
2689,"Elderly AML Patients; Unfit, New-diagnosis AML; Acute Myeloid Leukemia; Venetoclax; Decitabine","Elderly AML Patients; Unfit, New-diagnosis AML; Acute Myeloid Leukemia; Venetoclax; Decitabine"
2690,Advanced Solid Tumors Which Are cMET-dependent,Advanced Solid Tumors with cMET-dependence
2691,Elderly,Elderly
2692,Eisenmenger Syndrome,Eisenmenger Syndrome
2693,Prostate Cancer; Hormone Sensitive Prostate Cancer; Metastatic Tumor,Prostate Cancer; Hormone Sensitive Prostate Cancer; Metastatic Tumor
2694,STEMI - ST Elevation Myocardial Infarction,STEMI - ST Elevation Myocardial Infarction
2695,Recurrent Hodgkin Lymphoma; Refractory Hodgkin Lymphoma,Recurrent Hodgkin Lymphoma; Refractory Hodgkin Lymphoma
2696,Hyperalgesia,Hyperalgesia
2697,Prostate Cancer; Metastatic Cancer; Castrate Sensitive Prostate Cancer,Prostate Cancer; Metastatic Cancer; Castrate Sensitive Prostate Cancer
2698,Prostate Cancer; Metastatic Castration Resistant Prostate Cancer; Metastatic Castration-sensitive Prostate Cancer,Prostate Cancer; Metastatic Castration Resistant Prostate Cancer; Metastatic Castration-sensitive Prostate Cancer
2699,Adenocarcinoma of the Prostate; Prostate Cancer,Adenocarcinoma of the Prostate; Prostate Cancer
2700,Advanced Solid Tumor; Non-Small Cell Lung Cancer; Colorectal Cancer,Advanced Solid Tumor; Non-Small Cell Lung Cancer; Colorectal Cancer
2701,Cesarean Section Complications,Cesarean Section
2702,Prostate Cancer; Prostatic Neoplasms,Prostate Cancer; Prostatic Neoplasms
2703,Brain Neoplasms,Brain Neoplasms
2704,Recurrent Hepatitis C,Recurrent Hepatitis C
2705,"Hormone Receptor Positive, HER2-negative, Advanced Breast Cancer","Hormone Receptor Positive, HER2-negative, Advanced Breast Cancer"
2706,Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia (Ph+ALL),Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia
2707,"Philadelphia-Positive ALL; Acute Lymphoblastic Leukemia, in Relapse","Philadelphia-Positive ALL; Acute Lymphoblastic Leukemia, in Relapse"
2708,Alveolar Ridge Preservation,Alveolar Ridge Preservation
2709,Stage IV Non-Small Cell Lung Cancer,Stage IV Non-Small Cell Lung Cancer
2710,Aneurysm,Aneurysm
2711,"GIST, Malignant; KIT Exon 13 Mutation; KIT Gene Mutation",Malignant GIST with KIT Mutations
2712,Ovarian Epithelial Cancer,Ovarian Epithelial Cancer
2713,Drug Drug Interaction,Drug Drug Interaction
2714,Distal Radius Fracture,Distal Radius Fracture
2715,GERD; Gastro Esophageal Reflux,Gastroesophageal Reflux Disease
2716,"Knee, Osteoarthritis (OA); Biomarkers for Prediction of OA Treatment Efficacy",Osteoarthritis
2717,Anesthesia; Opioid Use,Pain Management
2718,Cytomegalovirus Infection,Cytomegalovirus Infection
2719,Ovarian Cancer; Primary Peritoneal Cancer; Fallopian Tube Cancer,Ovarian Cancer; Primary Peritoneal Cancer; Fallopian Tube Cancer
2720,Anesthesia; Functional; Anesthesia,Anesthesia; Functional; Anesthesia
2721,Cytomegalovirus Infections,Cytomegalovirus Infections
2722,Refractory or Recurrent Neuroblastoma in Children,Refractory or Recurrent Neuroblastoma in Children
2723,PCO,PCO
2724,Refractory Solid Tumors,Refractory Solid Tumors
2725,Stage IV Colorectal Cancer; Gastric Cancer,Advanced Gastrointestinal Cancer
2726,Stage IV Colorectal Cancer,Stage IV Colorectal Cancer
2727,Advanced Biliary Tract Carcinoma,Advanced Biliary Tract Carcinoma
2728,Ovarian Cancer; Sarcoma; Small Intestine Cancer,Ovarian Cancer and Related Malignancies
2729,Lung Adenocarcinoma; Lung Neoplasms,Lung Neoplasms
2730,Acute Myelocytic Leukemia,Acute Myelocytic Leukemia
2731,Staphylococcus Aureus Infection,Staphylococcus Aureus Infection
2732,Cystic Fibrosis in Children,Cystic Fibrosis in Children
2733,Blood Coagulation Disorder,Blood Coagulation Disorder
2734,Children With Fracture Femur,Femur Fracture in Children
2735,Large B-cell Lymphoma,B-Cell Non-Hodgkin Lymphoma
2736,Lung Cancer Non-small Cell Stage IV,Non-small Cell Lung Cancer Stage IV
2737,Status Epilepticus,Status Epilepticus
2738,Lung Cancer (NSCLC),Lung Cancer (NSCLC)
2739,Childhood Mortality,Childhood Mortality
2740,Ovarian Cancer; Endometrial Cancer,Ovarian Cancer; Endometrial Cancer
2741,Angelman Syndrome,Angelman Syndrome
2742,Involutional Osteoporosis,Involutional Osteoporosis
2743,Human Experimentation,Human Experimentation
2744,Angina Pectoris; Coronary Artery Disease; Type 2 Diabetes Mellitus,Angina Pectoris; Coronary Artery Disease; Type 2 Diabetes Mellitus
2745,"Ganglioneuroblastoma, Nodular; Neuroblastoma","Ganglioneuroblastoma, Nodular; Neuroblastoma"
2746,Ovarian Cancer; Fallopian Tube Cancer; Peritoneal Cancer; Ovarian Cancer Stage III; Ovarian Cancer Stage IV; Fallopian Tube Cancer Stage IV; Fallopian Tube Cancer Stage III,Ovarian and Related Cancers
2747,Cytochrome P450 Phenotype and Genotype Metrics,Cytochrome P450 Phenotype and Genotype Metrics
2748,Gambling,Gambling
2749,"Diffuse, Large B-Cell, Lymphoma",Diffuse Large B-Cell Lymphoma
2750,"Anesthesia, Spinal",Spinal Anesthesia
2751,Stage IV (Metastatic) Breast Cancer; Metastatic Breast Cancer; ER Positive Breast Cancer; PR-Positive Breast Cancer; HER2-negative Breast Cancer; Invasive Breast Cancer,Stage IV (Metastatic) Breast Cancer; Metastatic Breast Cancer; ER Positive Breast Cancer; PR-Positive Breast Cancer; HER2-negative Breast Cancer; Invasive Breast Cancer
2752,Refractory Plasma Cell Myeloma; Recurrent Plasma Cell Myeloma,Refractory Plasma Cell Myeloma; Recurrent Plasma Cell Myeloma
2753,Stage II Breast Cancer; Stage IIIA Breast Cancer; Stage IIIB Breast Cancer; Stage IIIC Breast Cancer,Stage II Breast Cancer; Stage IIIA Breast Cancer; Stage IIIB Breast Cancer; Stage IIIC Breast Cancer
2754,Free Flap Reconstruction,Free Flap Reconstruction
2755,Stage II Colon Cancer; Stage III Colon Cancer; HER2-positive Colon Cancer; RAS Wild-type Colon Cancer,Colon Cancer
2756,"Caries, Dental","Caries, Dental"
2757,Pain; Anesthesia,Pain and Anesthesia
2758,Stage II Colon Cancer; Stage III Colon Cancer,Stage II-III Colon Cancer
2759,Frailty,Frailty
2760,Anemia; Cardiovascular Complications; Hot Flashes; Osteoporosis; Prostate Cancer,Cardiovascular Complications
2761,Frail Elderly Syndrome,Frail Elderly Syndrome
2762,Pain; Other Surgical Procedures,Pain and Surgical Procedures
2763,"Blood Loss, Surgical",Surgical Blood Loss
2764,Low Cardiac Output Syndrome,Low Cardiac Output Syndrome
2765,Deafness,Deafness
2766,Refractory Diffuse Large B Cell Lymphoma (DLBCL); Relapsed Diffuse Large B-Cell Lymphoma; Transformed Follicular Lymphoma (TFL); Primary Mediastinal B-cell Lymphoma (PMBCL); High Grade B-cell Lymphoma (HGBCL),Diffuse Large B Cell Lymphoma and Related Conditions
2767,Anemia of Chronic Kidney Disease,Anemia of Chronic Kidney Disease
2768,Painful Diabetic Neuropathy,Painful Diabetic Neuropathy
